paper_id,title,authors,year,venue,categories,hardware,methodology_type,measured_on_physical_hardware,n_claims,read_status,phoenix_relevance,doi,arxiv,url
PAP-0011,Photonics for artificial intelligence and neuromorphic computing,Bhavin J. Shastri; Alexander N. Tait; Thomas Ferreira de Lima; Wolfram H. P. Pernice; Hooman Bhaskaran; C. David Wright; Paul R. Prucnal,2021,Nature Photonics,photonic_computing; neuromorphic_computing,PHOTONIC,SURVEY,False,0,ABSTRACT_ONLY,HIGH,10.1038/s41566-020-00754-y,,
PAP-0012,Parallel convolutional processing using an integrated photonic tensor core,Johannes Feldmann; Nathan Youngblood; Maxim Karpov; Helge Gehring; Xuan Li; Maik Stappers; Manuel Le Gallo; Xin Fu; Anton Lukashchuk; Arslan Sajid Raja; Junqiu Liu; David Wright; Abu Sebastian; Tobias J. Kippenberg; Wolfram H. P. Pernice; Harish Bhaskaran,2021,Nature,photonic_computing; optical_neural_networks,PHOTONIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1038/s41586-020-03070-1,,
PAP-0013,11 TOPS photonic convolutional accelerator for optical neural networks,Xingyuan Xu; Mengxi Tan; Bill Corcoran; Jiayang Wu; Andreas Boes; Thach G. Nguyen; Sai T. Chu; Brent E. Little; Damien G. Hicks; Roberto Morandotti; Arnan Mitchell; David J. Moss,2021,Nature,photonic_computing; optical_neural_networks,PHOTONIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1038/s41586-020-03063-0,,
PAP-0014,All-optical machine learning using diffractive deep neural networks,Xing Lin; Yair Rivenson; Nezih T. Yardimci; Muhammed Veli; Yi Luo; Mona Jarrahi; Aydogan Ozcan,2018,Science,photonic_computing; optical_neural_networks,PHOTONIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1126/science.aat8084,,
PAP-0015,A million spiking-neuron integrated circuit with a scalable communication network and interface,Paul A. Merolla; John V. Arthur; Rodrigo Alvarez-Icaza; et al.,2014,Science,neuromorphic_computing; snns,NEUROMORPHIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1126/science.1254642,,
PAP-0016,The SpiNNaker Project,Steve B. Furber; Francesco Galluppi; Steve Temple; Luis A. Plana,2014,Proceedings of the IEEE,neuromorphic_computing; snns,NEUROMORPHIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1109/JPROC.2014.2304638,,
PAP-0017,Surrogate Gradient Learning in Spiking Neural Networks,Emre O. Neftci; Hesham Mostafa; Friedemann Zenke,2019,IEEE Signal Processing Magazine,neuromorphic_computing; snns,,SURVEY,False,0,ABSTRACT_ONLY,MEDIUM,10.1109/MSP.2019.2931595,1901.09948,
PAP-0018,TVM: An Automated End-to-End Optimizing Compiler for Deep Learning,Tianqi Chen; Thierry Moreau; Ziheng Jiang; Lianmin Zheng; Eddie Yan; Haichen Shen; Meghan Cowan; Leyuan Wang; Yuwei Hu; Luis Ceze; Carlos Guestrin; Arvind Krishnamurthy,2018,OSDI 2018,compiler_architecture,,EXPERIMENTAL,False,0,ABSTRACT_ONLY,HIGH,,1802.04799,
PAP-0019,Triton: An Intermediate Language and Compiler for Tiled Neural Network Computations,Philippe Tillet; H. T. Kung; David Cox,2019,MAPL 2019 (co-located with PLDI),compiler_architecture,,EXPERIMENTAL,False,0,ABSTRACT_ONLY,HIGH,10.1145/3315508.3329973,,
PAP-0020,MLIR: A Compiler Infrastructure for the End of Moore's Law,Chris Lattner; Mehdi Amini; et al.,2020,arXiv preprint,compiler_architecture; heterogeneous_computing,,EXPERIMENTAL,False,0,ABSTRACT_ONLY,HIGH,,2002.11054,
PAP-0021,MLPerf Inference Benchmark,Vijay Janapa Reddi; Christine Cheng; David Kanter; Peter Mattson; Guenther Schmuelling; Carole-Jean Wu; et al.,2020,ISCA 2020,benchmarking_methodology,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1109/ISCA45697.2020.00045,,
PAP-0022,MLPerf Training Benchmark,Peter Mattson; Christine Cheng; Gregory Diamos; Cody Coleman; Paulius Micikevicius; David Patterson; et al.,2020,MLSys 2020,benchmarking_methodology,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,,,https://proceedings.mlsys.org/paper_files/paper/2020/hash/411e39b117e885341f25efb8912945f7-Abstract.html
PAP-0023,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,Tri Dao; Daniel Y. Fu; Stefano Ermon; Atri Rudra; Christopher Ré,2022,NeurIPS 2022,transformer_acceleration,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,,2205.14135,
PAP-0024,Efficiently Scaling Transformer Inference,Reiner Pope; Sholto Douglas; Aakanksha Chowdhery; Jacob Devlin; James Bradbury; Anselm Levskaya; Jonathan Heek; Kefan Xiao; Shivani Agrawal; Jeff Dean,2023,MLSys 2023,transformer_acceleration; tpu_ai_accelerators,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,,2211.05102,
PAP-0025,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,Mohammad Shoeybi; Mostofa Patwary; Raul Puri; Patrick LeGresley; Jared Casper; Bryan Catanzaro,2019,arXiv preprint,transformer_acceleration; heterogeneous_computing,GPU,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,1909.08053,
PAP-0026,Simba: Scaling Deep-Learning Inference with Multi-Chip-Module-Based Architecture,Yakun Sophia Shao; Jason Clemons; Rangharajan Venkatesan; Brian Zimmer; Matthew Fojtik; Nan Jiang; Ben Keller; Alicia Klinefelter; Nathaniel Pinckney; Priyanka Raina; Stephen G. Tell; Yanqing Zhang; William J. Dally; Joel S. Emer; C. Thomas Gray; Stephen W. Keckler; Brucek Khailany,2019,MICRO 2019,ai_accelerator_architecture; chiplets,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,10.1145/3352460.3358302,,
PAP-0027,Dissecting the Graphcore IPU Architecture via Microbenchmarking,Zhe Jia; Blake Tillman; Marco Maggioni; Daniele Paolo Scarpazza,2019,arXiv preprint (Citadel technical report),ai_accelerator_architecture,OTHER_ACCELERATOR,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,1912.03413,
PAP-0028,Efficient Memory Management for Large Language Model Serving with PagedAttention,Woosuk Kwon; Zhuohan Li; Siyuan Zhuang; Ying Sheng; Lianmin Zheng; Cody Hao Yu; Joseph E. Gonzalez; Hao Zhang; Ion Stoica,2023,SOSP 2023,transformer_acceleration,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1145/3600006.3613165,2309.06180,
PAP-0029,Orca: A Distributed Serving System for Transformer-Based Generative Models,Gyeong-In Yu; Joo Seong Jeong; Geon-Woo Kim; Soojeong Kim; Byung-Gon Chun,2022,OSDI 2022,transformer_acceleration,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,,https://www.usenix.org/conference/osdi22/presentation/yu
PAP-0030,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,Elias Frantar; Saleh Ashkboos; Torsten Hoefler; Dan Alistarh,2023,ICLR 2023,transformer_acceleration,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,2210.17323,
PAP-0031,LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale,Tim Dettmers; Mike Lewis; Younes Belkada; Luke Zettlemoyer,2022,NeurIPS 2022,transformer_acceleration,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,2208.07339,
PAP-0032,An Evaluation of Edge TPU Accelerators for Convolutional Neural Networks,Google Research; et al.,2021,arXiv preprint,tpu_ai_accelerators,TPU,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,2102.10423,
PAP-0033,Neuromorphic Photonic Networks using Silicon Photonic Weight Banks,Alexander N. Tait; Allie X. Wu; Thomas Ferreira de Lima; Ellen Zhou; Bhavin J. Shastri; Mitchell A. Nahmias; Paul R. Prucnal,2016,IEEE Journal of Selected Topics in Quantum Electronics,photonic_computing; microring_architectures,PHOTONIC,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,10.1109/JSTQE.2016.2573583,,
PAP-0034,Taking Neuromorphic Computing to the Next Level with Loihi 2,Intel Labs,2021,Intel technical brief,neuromorphic_computing,NEUROMORPHIC,EXPERIMENTAL,False,0,ABSTRACT_ONLY,MEDIUM,,,https://www.intel.com/content/www/us/en/research/neuromorphic-computing-loihi-2-technology-brief.html
PAP-0035,Chiplet Cloud: Building AI Supercomputers for Serving Large Generative Language Models,Huwan Peng; Scott Davidson; Richard Shi; Shuaiwen Leon Song; Michael B. Taylor,2023,arXiv preprint,chiplets; ai_accelerator_architecture,,EXPERIMENTAL,False,0,ABSTRACT_ONLY,MEDIUM,,2307.02666,
PAP-0036,Algorithms for VLSI Processor Arrays,H. T. Kung; C. E. Leiserson,1980,"Introduction to VLSI Systems (Mead & Conway, eds.), Chapter 8.3",systolic_arrays; ai_accelerator_architecture,,ANALYTICAL,False,0,ABSTRACT_ONLY,HIGH,,,https://www.semanticscholar.org/paper/Systolic-Arrays-for-(VLSI).-Kung-Leiserson/fbdf08fb10d92518b7c0571e1ae907de2c20ff76
PAP-0037,GPUs and the Future of Parallel Computing,Stephen W. Keckler; William J. Dally; Brucek Khailany; Michael Garland; David Glasco,2011,IEEE Micro,gpu_architecture,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,10.1109/MM.2011.89,,
PAP-0038,NVIDIA A100 Tensor Core GPU Architecture,NVIDIA Corporation,2020,NVIDIA whitepaper,gpu_architecture,GPU,EXPERIMENTAL,False,0,ABSTRACT_ONLY,HIGH,,,https://images.nvidia.com/aem-dam/en-zz/Solutions/data-center/nvidia-ampere-architecture-whitepaper.pdf
PAP-0039,AMD CDNA 3 Architecture / AMD Instinct MI300 Series,"AMD, Inc.",2023,AMD whitepaper,gpu_architecture; chiplets,GPU,EXPERIMENTAL,False,0,ABSTRACT_ONLY,MEDIUM,,,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/white-papers/amd-cdna-3-white-paper.pdf
PAP-0040,Timeloop: A Systematic Approach to DNN Accelerator Evaluation,Angshuman Parashar; Priyanka Raina; Yakun Sophia Shao; Yu-Hsin Chen; Victor A. Ying; Anurag Mukkara; Rangharajan Venkatesan; Brucek Khailany; Stephen W. Keckler; Joel Emer,2019,ISPASS 2019,benchmarking_methodology; ai_accelerator_architecture,,EXPERIMENTAL,False,0,ABSTRACT_ONLY,MEDIUM,,,https://accelergy.mit.edu/timeloop.pdf
PAP-0041,Accelergy: An Architecture-Level Energy Estimation Methodology for Accelerator Designs,Yannan Nellie Wu; Joel S. Emer; Vivienne Sze,2019,ICCAD 2019,benchmarking_methodology; ai_accelerator_architecture,,EXPERIMENTAL,False,0,ABSTRACT_ONLY,MEDIUM,,,https://accelergy.mit.edu/ispass2020/2020_08_23_timeloop_accelergy_tutorial_part1.pdf
PAP-0042,GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints,Joshua Ainslie; James Lee-Thorp; Michiel de Jong; Yury Zemlyanskiy; Federico Lebron; Sumit Sanghai,2023,EMNLP 2023,transformer_acceleration,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,10.18653/v1/2023.emnlp-main.298,2305.13245,
PAP-0043,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,William Fedus; Barret Zoph; Noam Shazeer,2022,Journal of Machine Learning Research,transformer_acceleration,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,2101.03961,
PAP-0044,Mixed Precision Training,Paulius Micikevicius; Sharan Narang; Jonah Alben; Gregory Diamos; Erich Elsen; David Garcia; Boris Ginsburg; Michael Houston; Oleksii Kuchaiev; Ganesh Venkatesh; Hao Wu,2018,ICLR 2018,ai_accelerator_architecture; benchmarking_methodology,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,HIGH,,1710.03740,
PAP-0045,ZeRO: Memory Optimizations Toward Training Trillion Parameter Models,Samyam Rajbhandari; Jeff Rasley; Olatunji Ruwase; Yuxiong He,2020,SC 2020,transformer_acceleration; memory_systems,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,10.1109/SC41405.2020.00024,,
PAP-0046,"Deep Compression: Compressing Deep Neural Networks with Pruning, Trained Quantization and Huffman Coding",Song Han; Huizi Mao; William J. Dally,2016,ICLR 2016,ai_accelerator_architecture,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,1510.00149,
PAP-0047,Gaudi Training Platform White Paper,Habana Labs (Intel),2019,Habana Labs whitepaper,ai_accelerator_architecture,OTHER_ACCELERATOR,EXPERIMENTAL,False,0,ABSTRACT_ONLY,LOW,,,https://habana.ai/wp-content/uploads/2019/06/Habana-Gaudi-Training-Platform-whitepaper.pdf
PAP-0048,A Software-defined Tensor Streaming Multiprocessor for Large-scale Machine Learning,Dennis Abts; Garrin Kimmell; Andrew Ling; John Kim; Matthew Boyd; Andrew Bitar; Sahil Parmar; Ibrahim Ahmed; Roberto DiCecco; David Han; John Thompson; Michael Bye; Jennifer Hwang; Jeremy Fowers; Peter Lillian; Ashwin Murthy; Elyas Mehtabuddin; Chetan Tekur; Thomas Sohmers; Kris Kang; Stephen Maresh; Jonathan Ross,2022,ISCA 2022,ai_accelerator_architecture,OTHER_ACCELERATOR,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,10.1145/3470496.3527405,,
PAP-0049,JAX: composable transformations of Python+NumPy programs,James Bradbury; Roy Frostig; Peter Hawkins; Matthew James Johnson; Yash Katariya; Chris Leary; Dougal Maclaurin; George Necula; Adam Paszke; Jake VanderPlas; Skye Wanderman-Milne; Qiao Zhang,2018,software release (no peer-reviewed paper),compiler_architecture; heterogeneous_computing,,ANALYTICAL,False,0,ABSTRACT_ONLY,LOW,,,http://github.com/jax-ml/jax
PAP-0050,Pathways: Asynchronous Distributed Dataflow for ML,Paul Barham; Aakanksha Chowdhery; Jeff Dean; Sanjay Ghemawat; Steven Hand; Dan Hurt; et al.,2022,MLSys 2022,heterogeneous_computing; tpu_ai_accelerators,,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,2203.12533,
PAP-0051,An Introduction to the Compute Express Link (CXL) Interconnect,Debendra Das Sharma; Robert Blankenship; Daniel Berger,2024,ACM Computing Surveys,interconnects,,SURVEY,False,0,ABSTRACT_ONLY,MEDIUM,10.1145/3669900,2306.11227,
PAP-0052,ISAAC: A Convolutional Neural Network Accelerator with In-Situ Analog Arithmetic in Crossbars,Ali Shafiee; Anirban Nag; Naveen Muralimanohar; Rajeev Balasubramonian; John Paul Strachan; Miao Hu; R. Stanley Williams; Vivek Srikumar,2016,ISCA 2016,ai_accelerator_architecture; memory_systems,OTHER_ACCELERATOR,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,10.1109/ISCA.2016.12,,
PAP-0053,PRIME: A Novel Processing-in-Memory Architecture for Neural Network Computation in ReRAM-based Main Memory,Ping Chi; Shuangchen Li; Cong Xu; Tao Zhang; Jishen Zhao; Yongpan Liu; Yu Wang; Yuan Xie,2016,ISCA 2016,ai_accelerator_architecture; memory_systems,OTHER_ACCELERATOR,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,10.1109/ISCA.2016.13,,
PAP-0054,Dissecting the NVidia Turing T4 GPU via Microbenchmarking,Zhe Jia; Marco Maggioni; Jeffrey Smith; Daniele Paolo Scarpazza,2019,arXiv preprint,gpu_architecture,GPU,EXPERIMENTAL,True,0,ABSTRACT_ONLY,MEDIUM,,1903.07486,
